"","geneid","Mlowhi.logFC","Mlowhi.AveExpr","Mlowhi.t","Mlowhi.P.Value","Mlowhi.adj.P.Val","Mlowhi.B","Plowhi.logFC","Plowhi.AveExpr","Plowhi.t","Plowhi.P.Value","Plowhi.adj.P.Val","Plowhi.B","Diff.logFC","Diff.AveExpr","Diff.t","Diff.P.Value","Diff.adj.P.Val","Diff.B"
"1555","CG10237",0.395079836020751,5.89534433256123,4.74355094341627,0.00030149269143075,0.00670766221518923,-0.261786912527112,0.33108224169378,5.89534433256123,4.37362762729748,0.000614514743616863,0.00468163021264037,-0.867983164175114,0.0639975943269713,5.89534433256123,0.568619395529116,0.578486058211484,0.819266566968034,-6.73711957160637
"1556","CG1024",0.0809078820960001,2.83497510107774,0.698415363632224,0.49618308454604,0.693527340873709,-6.79682210395438,0.226594160659643,2.83497510107774,2.13601980718314,0.0505339070449082,0.120693488654395,-4.81953265394796,-0.145686278563643,2.83497510107774,-0.927476700451683,0.369156944821212,0.685924389060628,-6.08084042335976
"1557","CG10252",0.154676708853303,8.4873020736626,1.22785116008263,0.239755395744369,0.448768389971036,-6.66673093730243,0.226991710850623,8.4873020736626,1.9443883828634,0.0722297355679402,0.156851121410004,-5.49709521469478,-0.0723150019973193,8.4873020736626,-0.42104843493503,0.68011462070699,0.868332311951004,-6.79481700468153
"1558","CG10254",0.160183859292518,8.08172092288878,2.06629643854866,0.0575210641831748,0.186594512165088,-5.45006957883006,0.0123594656063162,8.08172092288878,0.173622916331142,0.864609566426021,0.917389328245,-7.28301370369788,0.147824393686202,8.08172092288878,1.40453702077255,0.181627643583937,0.501435623686287,-5.92355947491553
"1559","CG10257",0.446803963868558,0.688274096246579,2.29330047911114,0.0375669433288896,0.140772121055392,-4.13035279615991,0.480161364321439,0.688274096246579,2.81299691074846,0.0136574323970082,0.046709889975405,-3.12033771912688,-0.0333574004528815,0.688274096246579,-0.128779451366543,0.899336140907549,0.963961231877414,-5.94995604519183
"1560","CG10265",-0.322506218173915,4.3841501552745,-2.77487905607696,0.0147274010971356,0.0781223782528179,-4.05070488601022,-0.475639392063642,4.3841501552745,-4.40552171706576,0.000577588754877347,0.00447051936228073,-0.683392257564636,0.153133173889727,4.3841501552745,0.965334008945785,0.350511207762019,0.669551810569463,-6.30652400985613
"1561","CG10274",0.145382598698054,2.97185145770629,0.997071569411166,0.335397497318152,0.551635857881355,-6.59166752659222,0.061276156676747,2.97185145770629,0.448121369408277,0.660818529298728,0.769826814440652,-6.83498797245664,0.0841064420213069,2.97185145770629,0.420751639331534,0.680227033122429,0.868374935900973,-6.46504486877134
"1562","CG10283",-0.107857313614477,3.06982677408524,-0.886264613382978,0.390219494764466,0.603536369191304,-6.68756660519789,-0.232924617161127,3.06982677408524,-2.11578073623034,0.0524766437574517,0.124087517589381,-4.90597955656707,0.12506730354665,3.06982677408524,0.762120787195664,0.458445160409738,0.748842898675714,-6.26652777062218
"1563","CG10286",0.0489625580691908,2.64318501486212,0.421176172444752,0.679924140506892,0.822253920117841,-6.92029912407871,0.217793687965703,2.64318501486212,2.05634222419174,0.0585882832580571,0.134531480616663,-4.92329387942638,-0.168831129896512,2.64318501486212,-1.07354905488283,0.300908111069389,0.626212391279055,-5.90417952198074
"1564","CG10298",-0.051654833512857,5.50428696562355,-0.548190783386674,0.592064647262336,0.76285637675668,-7.26554399850541,-0.222689125609474,5.50428696562355,-2.58760469713597,0.0212840845287077,0.0649439688019476,-4.36829347417457,0.171034292096617,5.50428696562355,1.34025254149207,0.201188891750657,0.524302105041041,-5.9925400659928
