"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tabor{}6591",0.175386740874354,3.03392512043042,0.617048364428434,0.54879088884774,0.704478870117888,-6.96140373323579
"CG11655",-0.0634287385484474,3.92149035828409,-0.613788413952768,0.548939970648881,0.704575910168181,-7.10723331166799
"lncRNA:CR44554",-0.249476466279716,-1.19878094943337,-0.61375888915488,0.548958947331823,0.704575910168181,-5.91207875610641
"Rt1a{}4269",-0.239284767165973,-1.53499781118344,-0.613323822035129,0.549238622657491,0.704875503941067,-5.83871108751023
"CG3632",-0.0481444499216664,4.90117424692632,-0.613193595029423,0.549322351950595,0.704886424618682,-7.21049116108499
"mute",0.035040918715224,4.38559464579549,0.613166712630246,0.549339636823891,0.704886424618682,-7.16582129647889
"sip1",0.0471109418153092,3.56680208840723,0.612881723379991,0.54952289777193,0.705062212665786,-7.05399846525849
"Acf",0.0310270698130905,4.90911916612257,0.612705066828275,0.549636512658614,0.705148619657991,-7.21304695081247
"sd",-0.0411577226761295,6.68884631512575,-0.611786294996056,0.550227618188224,0.705847550605095,-7.27717356571737
"dpa",0.04070443709333,3.62451029733843,0.611496590443282,0.550414075779346,0.706027313767968,-7.0650170838366
"DCTN6-p27",-0.0559962475117146,3.67121308622435,-0.610855873092009,0.55082657202514,0.706496966643926,-7.07210693077217
"rut",-0.061031174126592,6.04183424862237,-0.610685338293657,0.550936391340463,0.706536167653966,-7.2713318700917
"CG2854",0.0519206103819312,4.35188199856467,0.610664429624826,0.550949856719143,0.706536167653966,-7.1650562129665
"Zasp52",-0.0660010240203074,10.4186486787647,-0.610329445227572,0.551165614247186,0.70675338335104,-7.15126278984404
"Osi13",-0.123933542772476,0.372716365617408,-0.6102365524719,0.551225452974794,0.706770646418968,-6.29728760487077
"asRNA:CR45834",0.103610077115401,0.8578177029231,0.609763385546833,0.551530307796792,0.707056368706068,-6.44511469135645
"vir",0.0413669623188665,3.91630996375927,0.609746663259258,0.551541083410612,0.707056368706068,-7.10915825057154
"I{}188",-1.62558655476441,-3.43744753033732,-0.614931127781565,0.551613803039464,0.707090113409153,-5.43526233281079
"bs",0.0535618121189393,3.78187427955187,0.609359278170073,0.551790741133632,0.707257434388272,-7.0846426094369
"Zip89B",0.0913691926869912,3.52482409740977,0.609400284203023,0.55187437165348,0.707305140358172,-7.04482161955222
