"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"CG31933",0.102837038244906,4.25617626490818,1.45116708680339,0.168570765409186,0.29266558040966,-6.29855549089747,"CG31933"
"lncRNA:TS14",0.194041047035058,1.41040070762057,1.4510924918255,0.168591209546941,0.292667733625171,-5.70552595520748,"lncRNA:TS14"
"WASp",-0.111115597809485,6.04561724776392,-1.45085200331877,0.168657133927192,0.292735010628501,-6.42652323349472,"WASp"
"Gpdh2",-0.145795033152627,4.80465096553803,-1.45081098197259,0.168668381123941,0.292735010628501,-6.36000162681615,"Gpdh2"
"Wdr62",-0.080972408457805,7.4414950388188,-1.44980953139435,0.168943151532073,0.293178504822226,-6.42089112767404,"Wdr62"
"Osi7",-0.440094372508846,-0.741937937868539,-1.44968030284646,0.16897863538055,0.293206695115516,-5.13481591473629,"Osi7"
"rnh1",-0.108095891294807,4.80380478853104,-1.44948339965987,0.16903271338947,0.293267139350584,-6.35877526443801,"rnh1"
"mRpS28",0.128285668948578,3.37826406323474,1.44936733674903,0.169064595952864,0.29328906571675,-6.15634699769138,"mRpS28"
"Nazo",0.270436491590658,1.02285461420843,1.44928885988607,0.169086156435712,0.293293082640593,-5.59353911516635,"Nazo"
"CG17260",-0.0899240574196767,4.44129946243108,-1.4490796107117,0.169143656060622,0.293354026794674,-6.32186655452959,"CG17260"
"Cyp310a1",-0.194264973681635,2.31253636499468,-1.44900492941614,0.169164181685659,0.293354026794674,-5.94837403948132,"Cyp310a1"
"Ugalt",0.106236065999581,3.59428400544186,1.4489508797104,0.169179038156062,0.293354026794674,-6.20042239313784,"Ugalt"
"lncRNA:CR44041",-0.307732085731656,-0.506692707895186,-1.44822766330869,0.169377930723925,0.293665490811447,-5.21029188178962,"lncRNA:CR44041"
"Kank",0.0729399374826221,7.40487895733469,1.44788284392742,0.169472828301144,0.293796599170679,-6.42384601766744,"Kank"
"fend",0.139030499405834,3.41433253583654,1.44761922064154,0.169545409744101,0.293888995052332,-6.16962391721098,"fend"
"Rpi",0.0910951969389066,5.78330539014327,1.44618063611241,0.169941939820573,0.294542836672983,-6.42794799566668,"Rpi"
"CG8620",-0.198662568744541,1.4446650972542,-1.44589004923909,0.170022130382669,0.294633045117721,-5.72816648553134,"CG8620"
"trn",0.124521789981559,3.77191675261118,1.44585192681676,0.170032653005929,0.294633045117721,-6.23114269556355,"trn"
"CG30065",-0.11375098740566,4.79123172630362,-1.44568959417035,0.170077466427699,0.294677192855632,-6.36269231837037,"CG30065"
"NAT1",-0.0796365541924631,8.72312353907484,-1.44555885217935,0.170113566091169,0.294706234765194,-6.37976363291606,"NAT1"
"CG10486",0.169267431749777,1.54422416066628,1.44530008372664,0.170185034389295,0.29479653604147,-5.7557656815217,"CG10486"
"Sap30",0.110176649076378,4.04659832430853,1.44519795795104,0.170213246991163,0.294811897277569,-6.26967970369584,"Sap30"
"Noc1",-0.0935885619545953,3.5089888219421,-1.44468803825931,0.170354172214752,0.295022452790093,-6.18283685612375,"Noc1"
"fz4",-0.115161974469899,3.71712210117862,-1.4441366804727,0.170506658602319,0.29525298001356,-6.21699547309422,"fz4"
